BRCD,BRANCH,CIRCLE,NETWORK,MOD NO,MODULE,REG NO,BGL,BGLDESC,BALANCE,BM_MOBILE
995,MANAPPARAI                              ,CHENNAI,2,22,TRICHY,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,14001808.09,
995,MANAPPARAI                              ,CHENNAI,2,22,TRICHY,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-15011.8,
995,MANAPPARAI                              ,CHENNAI,2,22,TRICHY,4,3199844,ATM EXCESS CASH ACCOUNT,4500,
995,MANAPPARAI                              ,CHENNAI,2,22,TRICHY,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,393900,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98731,SUSPENSE - OTHERS,-76766,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,3600,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98656,SUSP - SC CONTRA AC,794549,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98655,SUSP - SC CONTRA AC,-794549,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98602,INTER OFFICE INSTRUMENTS AC,1249261902,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,3252195.73,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-5800,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,3199844,ATM EXCESS CASH ACCOUNT,91400,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,288000,
997,AGRI COMM BRANCH HARUR                  ,CHENNAI,3,32,SALEM,4,98751,SUNDRY DEPOSITS-OTHERS,352050,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,1360,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,98602,INTER OFFICE INSTRUMENTS AC,-360424231.6,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,13604469.28,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-135.4,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,45100,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,4897932,INWARD SUBSIDY REMIT - NEFT/RTGS,287100,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,98751,SUNDRY DEPOSITS-OTHERS,30000,
998,JAYANKONDACHOLAPURAM                    ,CHENNAI,3,32,SALEM,2,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-1650,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,37286,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,98655,SUSP - SC CONTRA AC,490015,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,98656,SUSP - SC CONTRA AC,-490015,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,98602,INTER OFFICE INSTRUMENTS AC,801808813.8,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,5262075.46,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,162100,
999,AGRI COMM BRANCH KALKULAM               ,CHENNAI,2,21,MADURAI,5,98751,SUNDRY DEPOSITS-OTHERS,1960.13,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,3199844,ATM EXCESS CASH ACCOUNT,158800,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,108600,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-1024.78,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,3250603.98,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,98602,INTER OFFICE INSTRUMENTS AC,370594015.8,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,21010,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,98576,SD . UNIDENTIFIED CREDITS . CASH B,5000,
1016,GUDALUR                                 ,CHENNAI,3,31,COIMBATORE,2,98751,SUNDRY DEPOSITS-OTHERS,350000,
1017,SOWCARPET  (CHENNAI)                    ,CHENNAI,1,11,CHENNAI NORTH,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,4855607.91,
1017,SOWCARPET  (CHENNAI)                    ,CHENNAI,1,11,CHENNAI NORTH,1,98602,INTER OFFICE INSTRUMENTS AC,378406937.7,
1017,SOWCARPET  (CHENNAI)                    ,CHENNAI,1,11,CHENNAI NORTH,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,188300,
1017,SOWCARPET  (CHENNAI)                    ,CHENNAI,1,11,CHENNAI NORTH,1,3199844,ATM EXCESS CASH ACCOUNT,34500,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98731,SUSPENSE - OTHERS,-885450.46,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98728,SUSPENSE - ADHOC PAYMENTS,-5000,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98656,SUSP - SC CONTRA AC,-1219500,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98655,SUSP - SC CONTRA AC,1219500,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,87000,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98602,INTER OFFICE INSTRUMENTS AC,-140405470.7,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,8847098.45,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-5521.24,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,98751,SUNDRY DEPOSITS-OTHERS,108009,
1018,VANDAVASI                               ,CHENNAI,1,12,CHENNAI SOUTH,5,4898587,Diff in parking ac with INB facility,14044,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,4899315,PREPAID CARD DISPUTE-DEBIT ORIGINATING,-97750,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98655,SUSP - SC CONTRA AC,-72066,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98656,SUSP - SC CONTRA AC,72066,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199845,ATM EXCESS CASH FOUND ACCOUNT,-300,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98731,SUSPENSE - OTHERS,-245008.57,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199842,ATM CASH INTERMEDIATE ACCOUNT,-31400000,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199843,ATM CASH ADMIN DECREASE ACCOUNT,-9095900,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),984,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-38982.84,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199304,SUNDRY DEPOSIT NEFT-GRPT FAILED TX,10000,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98576,SD . UNIDENTIFIED CREDITS . CASH B,113500,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199844,ATM EXCESS CASH ACCOUNT,2343100,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98751,SUNDRY DEPOSITS-OTHERS,261839,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,78300,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98533,SYSTEM SUSPENSE AC - ORIG CREDIT,800,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-472500,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,13949845.45,
1020,THYAGARAYANAGAR(CHENNAI)                ,CHENNAI,1,11,CHENNAI NORTH,2,98602,INTER OFFICE INSTRUMENTS AC,2217475019,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,98728,SUSPENSE - ADHOC PAYMENTS,-6000,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,98602,INTER OFFICE INSTRUMENTS AC,-79878154.5,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,29200,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),5000,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,3199844,ATM EXCESS CASH ACCOUNT,64000,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-1300,
1021,NANGUNERI                               ,CHENNAI,2,21,MADURAI,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,2261939.81,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-60924.78,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,17156494.96,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98602,INTER OFFICE INSTRUMENTS AC,-233963412.3,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98656,SUSP - SC CONTRA AC,-240442,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98751,SUNDRY DEPOSITS-OTHERS,1585176,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,134000,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,3199842,ATM CASH INTERMEDIATE ACCOUNT,-2700000,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98731,SUSPENSE - OTHERS,-12990,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,98655,SUSP - SC CONTRA AC,240442,
1024,PONNERI                                 ,CHENNAI,1,11,CHENNAI NORTH,3,3199844,ATM EXCESS CASH ACCOUNT,206900,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98602,INTER OFFICE INSTRUMENTS AC,-29249061.32,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,5595370.7,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-47900,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,3199844,ATM EXCESS CASH ACCOUNT,55700,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,3199304,SUNDRY DEPOSIT NEFT-GRPT FAILED TX,1000,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,293600,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98751,SUNDRY DEPOSITS-OTHERS,680574,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),24946,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98731,SUSPENSE - OTHERS,-493933.68,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,4597998,INB MISCELLANEOUS DEBIT IMPS,-300,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,4597997,INB MISCELLANEOUS CREDIT IMPS,350.9,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98655,SUSP - SC CONTRA AC,2345141,
1030,OMALUR                                  ,CHENNAI,3,32,SALEM,1,98656,SUSP - SC CONTRA AC,-2345141,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,3199842,ATM CASH INTERMEDIATE ACCOUNT,-1000000,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,111400,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,98656,SUSP - SC CONTRA AC,473800,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,3199844,ATM EXCESS CASH ACCOUNT,80900,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-2024.78,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,9891585.83,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,98602,INTER OFFICE INSTRUMENTS AC,83672288.93,
1039,AGRI COMM BRANCH MANAMADURAI            ,CHENNAI,2,22,TRICHY,3,98655,SUSP - SC CONTRA AC,-473800,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,2399868,TRICKLE FEED REJECTED CREDIT AC,879628,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,42090.56,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,98751,SUNDRY DEPOSITS-OTHERS,10000,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,3199844,ATM EXCESS CASH ACCOUNT,6000,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,98731,SUSPENSE - OTHERS,-209377,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,98602,INTER OFFICE INSTRUMENTS AC,421675776,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,98655,SUSP - SC CONTRA AC,-226628,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,98656,SUSP - SC CONTRA AC,226628,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,7200,
1055,IIT MADRAS                              ,CHENNAI,1,12,CHENNAI SOUTH,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,3362212.29,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98731,SUSPENSE - OTHERS,-23790,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,1000,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98655,SUSP - SC CONTRA AC,-3176654.3,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98656,SUSP - SC CONTRA AC,3176654.3,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,273200,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,14973556.53,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-1000,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98751,SUNDRY DEPOSITS-OTHERS,98222.6,
1115,ADYAR(CHENNAI)                          ,CHENNAI,1,12,CHENNAI SOUTH,1,98602,INTER OFFICE INSTRUMENTS AC,6820826415,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199843,ATM CASH ADMIN DECREASE ACCOUNT,-36759640,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199845,ATM EXCESS CASH FOUND ACCOUNT,-4700,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98656,SUSP - SC CONTRA AC,-468240,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98655,SUSP - SC CONTRA AC,468240,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,4599274,ATM SHORT CASH ACCOUNT,-33000,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98731,SUSPENSE - OTHERS,-51000,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98728,SUSPENSE - ADHOC PAYMENTS,-58800,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199842,ATM CASH INTERMEDIATE ACCOUNT,-20500000,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98602,INTER OFFICE INSTRUMENTS AC,2488461936,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-59500,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98751,SUNDRY DEPOSITS-OTHERS,316224,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199844,ATM EXCESS CASH ACCOUNT,1679400,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98746,SD - EXCESS CASH,548640,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,39800,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199304,SUNDRY DEPOSIT NEFT-GRPT FAILED TX,5000,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-205411.8,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,98585,IOI TO BE ISSUED AC,11637,
1176,NUNGAMBAKKAM (CHENNAI)                  ,CHENNAI,1,12,CHENNAI SOUTH,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,24973454.1,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98728,SUSPENSE - ADHOC PAYMENTS,-5000,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98602,INTER OFFICE INSTRUMENTS AC,220022986.9,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,7222385.89,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-0.85,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-14500000,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98746,SD - EXCESS CASH,11500,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98751,SUNDRY DEPOSITS-OTHERS,5200,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,98731,SUSPENSE - OTHERS,-1147903.05,
1191,TIRUKKALIKUNDRAM                        ,CHENNAI,1,12,CHENNAI SOUTH,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,129847.59,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,3199842,ATM CASH INTERMEDIATE ACCOUNT,-21000000,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-900,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98731,SUSPENSE - OTHERS,-57870,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,4599274,ATM SHORT CASH ACCOUNT,-6600,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98656,SUSP - SC CONTRA AC,134960,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98655,SUSP - SC CONTRA AC,-134960,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,4897945,Sys. Suspense Govt. Challan with clg cheque,1071624.5,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,4898587,Diff in parking ac with INB facility,54600,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,3199843,ATM CASH ADMIN DECREASE ACCOUNT,-7747400,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98602,INTER OFFICE INSTRUMENTS AC,-5745269462,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,7337573.04,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98533,SYSTEM SUSPENSE AC - ORIG CREDIT,2000,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-242300,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,524900,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98746,SD - EXCESS CASH,102435,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,3199844,ATM EXCESS CASH ACCOUNT,1185800,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),54690,
1243,TAMBARAM(CHENNAI)                       ,CHENNAI,1,12,CHENNAI SOUTH,3,98728,SUSPENSE - ADHOC PAYMENTS,-262638,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,47770,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,98602,INTER OFFICE INSTRUMENTS AC,740367901.6,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,12310859.16,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-792.23,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,98533,SYSTEM SUSPENSE AC - ORIG CREDIT,317830.69,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,136300,
1310,RASIPURAM                               ,CHENNAI,3,31,COIMBATORE,5,98731,SUSPENSE - OTHERS,-334665,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98602,INTER OFFICE INSTRUMENTS AC,260225971.2,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98731,SUSPENSE - OTHERS,-105000,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98728,SUSPENSE - ADHOC PAYMENTS,-8000,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,3678009.45,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-3044.84,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98576,SD . UNIDENTIFIED CREDITS . CASH B,360000,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98746,SD - EXCESS CASH,500,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,337976.6,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,98751,SUNDRY DEPOSITS-OTHERS,94500,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),10000,
1311,AGRI COMM BRANCH ALANGUDI               ,CHENNAI,2,22,TRICHY,2,4897932,INWARD SUBSIDY REMIT - NEFT/RTGS,351323,
1312,TIRUCHIRAPALLI TOWN                     ,CHENNAI,2,22,TRICHY,1,3199844,ATM EXCESS CASH ACCOUNT,430487.15,
1312,TIRUCHIRAPALLI TOWN                     ,CHENNAI,2,22,TRICHY,1,98751,SUNDRY DEPOSITS-OTHERS,57559,
1312,TIRUCHIRAPALLI TOWN                     ,CHENNAI,2,22,TRICHY,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,82200,
